Comment,Time,Reply Count
"Whole middle East practice slaves on poor people of India, Nepal etc. They give they fake information and fake insurance of luxury life.once they reach there they not get space to live bad food they took passports f people so they can't g home.",2022-11-27T22:01:05Z,0
Dude what’s wrong with your face?  You might have a serious case of millennial  liberalism,2022-11-27T22:00:35Z,0
If Qatar wasn't selected as the Host county of FIFA World Cup 2022 then there would be no pressure on the Qatarian regiment to improve even if slightly and the world would not be aware of how the constructions are done in Qatar. Let's think positively. Thanks to the FIFA World Cup,2022-11-27T21:55:00Z,0
"Every South Asian already knows this Arab world thing and many poor and sometime not so poor people also went to work on their own will because of the currency factor. Some people makes lot of money and return back quickly but not everyone.

If you have to work in construction or in factory in Arab world then you get stuck other then that It's a good place to earn.",2022-11-27T21:36:50Z,0
Stop selling fake stuff and focus on real issues from within. The whole world understands what is the reality after past two decades. Enough is Enough,2022-11-27T21:35:37Z,0
Thanks!,2022-11-27T21:17:36Z,0
These Arab regimes are thuggish in their. The elite steals all the country’s wealthy and treats it as its own. No amount of sports washing will hide the criminal nature of these regimes.,2022-11-27T21:04:12Z,0
Established titles is a scam,2022-11-27T20:59:53Z,0
Try to go to your country and solve your problems that are going on there dont come making a video about something bad thats happened in qatar when we damn well know how much good things qatar is doing. And btw since you searched so hard into the problems of this worldcup host why dont you go and expose all the other countries problems that they had,2022-11-27T20:55:07Z,0
"Ah, a true journalist. I feel like I’m looking at a unicorn. Thank you!",2022-11-27T20:53:07Z,0
America terrorist talking about human rights 😂 fun,2022-11-27T20:45:09Z,0
لا حول ولا قوة إلا بالله 😥😥,2022-11-27T20:38:27Z,0
Still Asian (mostly Pakistani and Bangladesh never criticise Qatar because it is a Islamic country ),2022-11-27T20:35:52Z,0
This brings Walraf to mind...,2022-11-27T20:33:25Z,0
"I do really appreciate your work, as most of my families and friends are working on Quatar. Dead by overwork and harsh conditions is the only thing that they have told. Thank you for bringing this up, this is something of so important.",2022-11-27T20:32:10Z,0
"22:18 they came to qatar they chose to came, yeah sure they didn't know the conditions but nobody forced them to work, if you came to qatar for money like tf are you gonna do",2022-11-27T20:24:01Z,1
25:40,2022-11-28T04:23:26Z,
Now it’s time to talk about your country,2022-11-27T20:21:45Z,0
Bro like i agree with you but your videos are reallyyy bias,2022-11-27T20:14:26Z,0
we must move the world cup to LA,2022-11-27T20:10:13Z,0
"I lived in Doha for 20+ years and this is all accurate and unfortunately a reality everyone who lives there is aware of. The only thing you forgot to mention is that this isnt just a Qatar story, the entire gulf region is dependent on the same Kafala system to simultaneously build their nations and maintain the status quo. Bravo for fairly presenting this very sensitive/complex topic.",2022-11-27T20:05:56Z,0
We want a video about the Iran protests.,2022-11-27T20:03:18Z,0
Do something about iPhone factory workers  protest in China recently,2022-11-27T19:48:20Z,0
You should do a video on Scottish Independence…,2022-11-27T19:47:27Z,0
Qatar is also proud state sponsor of terrorism. So are you when you support them. Speaks volumes about FIFA.,2022-11-27T19:39:34Z,0
"As a poor and weak nation our government doesn't have the guts to raise its voice.( Hopefully that changes someday)
Thinking about this the value of money and what people do to feed their family just has a different frightening weight to it.",2022-11-27T19:39:32Z,0
bump,2022-11-27T19:39:24Z,0
what about ISRAEL made Concentration camps of palestinian people??,2022-11-27T19:32:40Z,0
"Omg there is poor people in Qatar, what’s the big deal lol",2022-11-27T19:31:20Z,0
in the UK we call this workforce.... agency workers. totally legal here. minimum wage and caravans to sleep in.,2022-11-27T19:29:14Z,0
"Israel occupied Palestine since 1948 and is slowly suffocating it, why don't you talk about this",2022-11-27T19:25:08Z,0
All only for wealthy to enjoy... and poor to suffer,2022-11-27T19:25:07Z,0
Great video however we can all call Qatar the big bad wolf . But what about the countries these people are coming from ? What are they doing ? Why do there people feel the need to go to Qatar to make money instead of there own ?,2022-11-27T19:24:20Z,0
Really appreciate the video! TY!,2022-11-27T19:23:06Z,0
Just show your true metal🙂🙂...with your double standards,2022-11-27T19:23:05Z,0
The adssssss 😞,2022-11-27T19:21:25Z,0
The America that killed Iraqis with chemical weapons and phosphorous and that suffers from a backward racist mentality against blacks until now and established ISIS is the best. 😒,2022-11-27T19:21:22Z,0
FIFA should be ashamed of themselves but they are not it’s all about money Qatar have violate all human,2022-11-27T19:19:38Z,2
@Safa Nadira Everybody involved get a piece of that Money lots of it,2022-11-27T20:09:33Z,
Nah everybody involve at this point,2022-11-27T20:02:44Z,
"So France, which keeps the skulls of its victims, is better 😒",2022-11-27T19:18:43Z,0
Damn Cami attractive tho,2022-11-27T19:16:20Z,0
How many Chinese workers have the West abused by buying cheap goods from sweatshops in China/India/Bangladesh for 50 years?! You guys are the last to talk about human rights. Stop the hypocrisy.,2022-11-27T19:15:45Z,0
"Johnny, we have an identical system, with all its components, in Canada for farm workers and other industrial work. In Canada ... recruiters are often gangs in country of origin, recruitment fees, debt required, closed work contract, horrible conditions, death, deportation if you speak out, extortion at home of your pay. Its called the Temporary Foreign Worker Program and its where Qatar learned its system.  If you want to tell this story I can introduce you to all of the relevant contacts - workers, farm access, rights organizers, lawyers, etc.",2022-11-27T19:15:11Z,0
"INDIA should ashamed itself to let this happen to its citizens. Nothing to feel proud about "" mera bharat mahan"" cowards..every indian is a citizen... not the selected white collar. Its a disgrace..MEA was bribed.",2022-11-27T19:04:47Z,0
Anyone watching the worldcup this year is complicit.,2022-11-27T19:02:34Z,0
Western hit piece.,2022-11-27T18:50:33Z,0
Great job am all for humanity how can other COUNTRIES sit back and watch this happening before their very eyes .usa the rest of the world where do u stand in this all mouth and no action or nothing there to vdnefit from ?,2022-11-27T18:44:47Z,0
First of all your putting a bad name on my country second of all your content is all about stuff that’s happening somewhere in the world or is a trend third all the companies are owned by none Qataris and fourth every contract that is made in Qatar is either English Arabic or the language they would prefer because signing a paperwork that you don’t know anything about is considered illegal and start talking about how Qatar is trying to help free Palestine your channel is all about negetive stuff happening somewhere,2022-11-27T18:43:36Z,0
How about you cover iran homie? They don’t pay you enough?,2022-11-27T18:41:21Z,0
I agree,2022-11-27T18:39:24Z,0
"This is pretty much the same scenario and situation in all the GCC countries, for decades skilled labourers from the developing asian countries go for work and get trapped similarly..its the currency conversion rate trap they fall for, the whole respective govt. is well aware of these issues, They chose to hide the facts, all of it..and portray the good image and make sure none is leaked aswell",2022-11-27T18:36:35Z,0
